0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,75,148,223,306,385,453,519,595,667,755,854,953,1048,1140,1230,1320,1410,1500,1590,1678,1766,1854,1940,2023
0,148,293,444,613,762,916,1076,1228,1384,1559,1752,1958,2155,2332,2512,2692,2872,3047,3218,3393,3576,3762,3916,4080
0,224,445,675,952,1187,1422,1665,1895,2148,2423,2710,3023,3322,3584,3854,4124,4394,4653,4904,5170,5452,5729,5962,6194
0,319,639,969,1343,1662,1968,2283,2610,2949,3304,3689,4096,4488,4842,5202,5560,5918,6263,6600,6959,7334,7697,8014,8324
0,424,849,1286,1769,2187,2571,2959,3343,3761,4208,4683,5176,5655,6101,6552,6998,7444,7876,8300,8746,9207,9654,10055,10448
0,528,1057,1606,2218,2763,3256,3720,4175,4676,5199,5752,6333,6904,7438,7979,8516,9053,9573,10083,10614,11159,11689,12174,12657
0,634,1269,1919,2670,3362,3976,4556,5123,5709,6300,6932,7603,8267,8892,9526,10158,10790,11404,12004,12622,13254,13874,14446,15007
0,743,1491,2262,3141,3961,4701,5399,6067,6725,7407,8129,8887,9642,10364,11098,11830,12561,13273,13967,14678,15401,16101,16749,17389
0,859,1727,2626,3635,4582,5448,6267,7016,7744,8510,9330,10182,11032,11855,12691,13527,14362,15175,15966,16765,17580,18361,19087,19827
0,985,1976,2997,4132,5209,6203,7130,7970,8786,9649,10569,11521,12471,13395,14333,15274,16214,17132,18018,18893,19794,20669,21487,22328
0,1114,2228,3368,4629,5836,6944,7973,8913,9828,10791,11811,12863,13913,14938,15978,17026,18071,19094,20078,21029,22018,22990,23905,24843
0,1243,2486,3742,5131,6459,7664,8790,9827,10841,11899,13017,14168,15317,16442,17586,18743,19896,21025,22110,23154,24247,25320,26333,27365
0,1371,2746,4135,5645,7087,8400,9627,10762,11876,13028,14241,15490,16737,17962,19213,20483,21750,22988,24184,25340,26546,27728,28847,29981
0,1492,2993,4503,6118,7669,9088,10427,11669,12897,14151,15461,16807,18152,19479,20839,22224,23607,24960,26276,27552,28873,30163,31387,32635
0,1598,3205,4817,6532,8199,9722,11169,12524,13877,15238,16646,18089,19533,20965,22436,23939,25437,26911,28354,29758,31204,32609,33940,35296
0,1703,3410,5112,6934,8722,10340,11887,13354,14828,16291,17794,19334,20878,22415,23997,25616,27232,28831,30403,31935,33509,35042,36492,37948
0,1817,3623,5410,7322,9205,10923,12572,14153,15747,17314,18912,20547,22190,23832,25525,27259,28995,30719,32413,34065,35759,37412,38992,40571
0,1943,3858,5725,7710,9687,11521,13275,14970,16689,18377,20072,21804,23547,25295,27099,28948,30804,32653,34472,36247,38064,39840,41550,43252
0,2066,4099,6057,8119,10203,12159,14018,15820,17655,19458,21260,23093,24941,26798,28714,30678,32654,34629,36576,38479,40424,42328,44168,45993
0,2174,4319,6386,8545,10756,12828,14794,16694,18630,20537,22445,24380,26335,28307,30336,32415,34511,36613,38690,40725,42802,44836,46805,48753
0,2279,4533,6716,8996,11330,13514,15584,17576,19605,21617,23631,25668,27730,29820,31971,34158,36353,38556,40756,42919,45124,47288,49387,51465
0,2387,4748,7036,9439,11888,14159,16319,18399,20521,22633,24748,26886,29054,31253,33508,35793,38087,40396,42711,44997,47330,49622,51855,54067
0,2505,4981,7375,9903,12458,14807,17039,19207,21433,23649,25862,28099,30373,32673,35023,37407,39807,42223,44649,47051,49507,51927,54292,56636
0,2623,5225,7742,10390,13046,15471,17775,20035,22377,24702,27006,29342,31720,34120,36571,39067,41580,44102,46635,49149,51721,54264,56758,59230
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,am stat sa verific daca erau corecte calculele,,,,,,,,,,,,,,,,,,,,,,,
